sentence	raw_sentence
ٹیم میں صرف مہارت کرنا کمی ہونا	ٹیم میں صرف مہارت کرنا کمی ہونا ۔
یہ بہت سے اجزاء کا مجموعہ ہے	یہ بہت سے اجزاء کا مجموعہ ہے۔
اس اسلوب میں یہ صلاحیت ہے کہ وہ جدید	اس اسلوب میں یہ صلاحیت ہے کہ وہ جدید
سوال اگر یہ ہو کہ ان میں سے کون محب وطن ہے	سوال اگر یہ ہو کہ ان میں سے کون محب وطن ہے
وہ تمہارا کیا لگتا ہے	وہ تمہارا کیا لگتا ہے؟
گاؤں سے باہر جانے والی سڑک کے ایک طرف پہاڑ تھا	گاؤں سے باہر جانے والی سڑک کے ایک طرف پہاڑ تھا
سامنے مارکیٹ ہے	سامنے مارکیٹ ہے۔
ہمیں نصیب ہوئی ہیں	ہمیں نصیب ہوئی ہیں۔
بلکہ انھی کا ایک فرد ابلیس انسانوں کو گمراہ کرنے کا مشن اختیار کیے ہوئے ہے	بلکہ انھی کا ایک فرد ابلیس انسانوں کو گمراہ کرنے کا مشن اختیار کیے ہوئے ہے
مجھے امریکہ کے بارے میں کوئی خوش گمانی نہیں ہے	مجھے امریکہ کے بارے میں کوئی خوش گمانی نہیں ہے۔
ہم کاروباری افراد معیشت کی کارکردگی سے بہت مطمئن ہیں	ہم کاروباری افراد معیشت کی کارکردگی سے بہت مطمئن ہیں
حیرانی صرف پٹواری صاحب کی نہ تھی	حیرانی صرف پٹواری صاحب کی نہ تھی۔
مغربی ارجنٹینا کا معیاری وقت	مغربی ارجنٹینا کا معیاری وقت
ہمارا حال پتلا ہے	ہمارا حال پتلا ہے۔
تو پرلے درجے کا بیوقوف سمجھا جائے گا	تو پرلے درجے کا بیوقوف سمجھا جائے گا۔
آئرلینڈ	آئرلینڈ
چاہے وہ یوسف کو کنویں میں ڈالنا یا نکالنا ہوا یا ابراھیم کی آگ کا واقعہ یا پھر موسی کا اور فرعون کا قصہ	چاہے وہ یوسف ؑ کو کنویں میں ڈالنا یا نکالنا ہوا یا ابراھیمؑ کی آگ کا واقعہ یا پھر موسیؑ کا اور فرعون کا قصہ
اور جیسا بوئیں گے ویسا ہی کاٹنا پڑے گا	، اور جیسا بوئیں گے ویسا ہی کاٹنا پڑے گا
کچھ نمکیات کی وجہ سے ہوگی	کچھ نمکیات کی وجہ سے ہوگی
یہ لوگ کم از کم خدا کو مانتے ہیں	یہ لوگ کم از کم خدا کو مانتے ہیں۔
کیا اسے معلوم ہے کہ ارتقا روایت کو قبول کرتا ہے	کیا اسے معلوم ہے کہ ارتقا روایت کو قبول کرتا ہے۔
وہ زور سے ہنسی	وہ زور سے ہنسی۔
یہی معاملہ مولانا سندھی کا ہے	یہی معاملہ مولانا سندھی کا ہے۔
نیوزی لینڈ سے ون ڈے سیریز کے اسکواڈ سے بھی عامر ڈراپ	نیوزی لینڈ سے ون ڈے سیریز کے اسکواڈ سے بھی عامر ڈراپ
ان گدے چمچوں کو یا تو دھو دیجئے یا بدل دیجئے	ان گدے چمچوں کو یا تو دھو دیجئے یا بدل دیجئے
ایسا تعلق عام طور پر انقلابیوں کے ساتھ ہوتا ہے	ایسا تعلق عام طور پر انقلابیوں کے ساتھ ہوتا ہے۔
ہمیں اس باب میں آگاہی کی ایک بڑی مہم چلانا ہو گی	ہمیں اس باب میں آگاہی کی ایک بڑی مہم چلانا ہو گی۔
بتانی شروع کردیں	بتانی شروع کردیں
پھر ہم انہیں پرانی گاڑیوں کے طور پر دوسرے ممالک برآ	پھر ہم انہیں پرانی گاڑیوں کے طور پر دوسرے ممالک برآ
آزادی اظہار کیلئے آواز اٹھاتے رہے	آزادیٔ اظہار کیلئے آواز اٹھاتے رہے۔
ہاتھ کنگن کو آرسی کیا	ہاتھ کنگن کو آرسی کیا؟
تو ریاست اور سماج کو اس کا خیر مقدم کر نا چاہیے	تو ریاست اور سماج کو اس کا خیر مقدم کر نا چاہیے۔
چڑھتا سورج ہی سب کچھ مانا جاتا ہے	چڑھتا سورج ہی سب کچھ مانا جاتا ہے۔
اف پانی کتنا ٹھنڈا ہے	اف پانی کتنا ٹھنڈا ہے
عشق کو آزما کے دیکھ لیا	عشق کو آزما کے دیکھ لیا
شریانوں کی سختی کی علامات کی بنیاد پر تشخیص کی جاسکتی ہے	شریانوں کی سختی کی علامات کی بنیاد پر تشخیص کی جاسکتی ہے
سوئٹزر لینڈ	سوئٹزر لینڈ
ایک اس موقع پر جب کوئی صاحب علم شریعت کے کسی مئلے کے بارے میں اپنی رائے پیش کرتا ہے	ایک اس موقع پر جب کوئی صاحبِ علم شریعت کے کسی مئلے کے بارے میں اپنی رائے پیش کرتا ہے
ایسا ہی ہوا	ایسا ہی ہوا۔
جو باری باری ان کی نگرانی کرتے ہیں	جو باری باری ان کی نگرانی کرتے ہیں
پاکستان میں اعلی تعلیم اگر بحران کا شکار رہی ہے	پاکستان میں اعلی تعلیم اگر بحران کا شکار رہی ہے۔
جو والدین بچوں کا برا بھلا کہتے ہیں اسکے اثرات کا انکو بخوبی اندازہ ہو گا	جو والدین بچوں کا برا بھلا کہتے ہیں اسکے اثرات کا انکو بخوبی اندازہ ہو گا
ہمیں اس وقت کا انتظار کرنا چاہیے	ہمیں اس وقت کا انتظار کرنا چاہیے۔
ہا بہائی لینی ہے کلاس تھوڑی سی دیر ہو جائے گی	ہا بہائی لینی ہے کلاس۔۔۔ تھوڑی سی دیر ہو جائے گی۔
یہ وہ سوال ہے جو امریکہ کی انتظامیہ کو درپیش ہے	یہ وہ سوال ہے جو امریکہ کی انتظامیہ کو درپیش ہے۔
انہوں نے کہا میں کیا کہہ سکتا ہوں	انہوں نے کہا: میں کیا کہہ سکتا ہوں۔
جاپان نے دنیا کا	جاپان نے دنیا کا
ٹھیک اور کیا کام کرتے آپ	ٹھیک، اور کیا کام کرتے آپ؟
کیلانتان مغربی ملائیشیا کی ایک ریاست ہے	کیلانتان مغربی ملائیشیا کی ایک ریاست ہے۔
منافقت پہلے بھی تھی	منافقت پہلے بھی تھی۔
جاپان کی سڑکوں پر ایسے مزدوروں کی کمی نہیں	جاپان کی سڑکوں پر ایسے مزدوروں کی کمی نہیں
پشاورشہید بے نظیر بھٹو یونیورسٹی میں ووشو چیمپئن شپ کا انعقاد	پشاورشہید بے نظیر بھٹو یونیورسٹی میں ووشو چیمپئن شپ کا انعقاد
دوپہر ساڑھے بجے کے	دوپہر ساڑھے بجے کے
سات لاکھ کی فوج ہے اور ہم ایک ایٹمی قوت بھی ہیں	سات لاکھ کی فوج ہے اور ہم ایک ایٹمی قوت بھی ہیں۔
اکشر بہت زیادہ کھاتا ہوں	اکشر بہت زیادہ کھاتا ہوں
کہ کسی ملک کے خلاف اگر قتال ناگزیر ہو جائے	کہ کسی ملک کے خلاف اگر قتال ناگزیر ہو جائے
تو کیوں ہے	تو کیوں ہے؟
سڑک کے دونوں اطراف مزدور اپنی مزدوری کے انتظار میں	سڑک کے دونوں اطراف مزدور اپنی مزدوری کے انتظار میں
انھیں لوگوں کو کھلانا اتنا پسند ہے	انھیں لوگوں کو کھلانا اتنا پسند ہے
اسکی جان کو خطرے میں ڈال دیا آپ نے رپورٹنگ کر کے	اسکی جان کو خطرے میں ڈال دیا آپ نے رپورٹنگ کر کے
اور بے دل شکاری حضرات کی بے	اور بے دل شکاری حضرات کی بے
میرے ساتھ بھی	میرے ساتھ بھی
ملک میں سونے کی قیمت تیزی سے بڑھنے لگی	ملک میں سونے کی قیمت تیزی سے بڑھنے لگی
پچھلے سالوں میں یورپ میں بھی یہ لہر چل نکلی تھی	پچھلے سالوں میں یورپ میں بھی یہ لہر چل نکلی تھی۔
اس مرتبہ کرک نامہ سے غیر حاضری کچھ زیادہ ہی طویل ہوگئی ہے جس کا سبب ذاتی مصروفیت تھی	اس مرتبہ کرک نامہ سے غیر حاضری کچھ زیادہ ہی طویل ہوگئی ہے جس کا سبب ذاتی مصروفیت تھی
آج مذہبی حلقوں میں حکومت کا کوئی ہم نوا باقی نہیں ہے	آج مذہبی حلقوں میں حکومت کا کوئی ہم نوا باقی نہیں ہے
اس صورتحال میں فائدہ اٹھانا چاہ رہے	اس صورتحال میں فائدہ اٹھانا چاہ رہے
ان ننھے مننھے پرندوں	ان ننھے مننھے پرندوں
البتہ یہ اخراج	البتہ یہ اخراج
جہاں آمدورفت ممکن ہے	جہاں آمدورفت ممکن ہے۔
ان پران کے آگے پیچھے سے امرالہی کے مؤکل لگے رہتے ہیں	ان پران کے آگے پیچھے سے امرِالٰہی کے مؤکل لگے رہتے ہیں
ٹھوس اقدام نہیں کرسکی	ٹھوس اقدام نہیں کرسکی
اسپیشل اولمپکس میں پاکستانی ایتھلیٹ عاصم زر نے سونے کا تمغہ جیت لیا	اسپیشل اولمپکس میں پاکستانی ایتھلیٹ عاصم زر نے سونے کا تمغہ جیت لیا
سے سید نور کو ان دیکھے	سے سید نور کو ان دیکھے
یسے مزدوروں کی زندگی میں	یسے مزدوروں کی زندگی میں
یہ تو ہمارے روز مرہ کی بات ہے	یہ تو ہمارے روز مرہ کی بات ہے
انہیں سمجھانے پڑیں گے	انہیں سمجھانے پڑیں گے۔
ایک صاحب گاڑی میں جارہے تھے	ایک صاحب گاڑی میں جارہے تھے
انہیں کیوں مبعوث کیا جاتا ہے	انہیں کیوں مبعوث کیا جاتا ہے؟
لیبیا میں انتشار پیدا کیا جاتا ہے	لیبیا میں انتشار پیدا کیا جاتا ہے۔
اسپنر شاداب خان کی گھومتی گیندوں کے سامنے سیمی الیون کے پلئیرز بے بس دکھائی دئیے	اسپنر شاداب خان کی گھومتی گیندوں کے سامنے سیمی الیون کے پلئیرز بے بس دکھائی دئیے
کہ جب کھجیندر پیدا ہوئے تھے	کہ جب کھجیندر پیدا ہوئے تھے
سعودی عرب نے ویڈیو گیمز فیفا ورلڈ کپ جیت لیا	سعودی عرب نے ویڈیو گیمز فیفا ورلڈ کپ جیت لیا
یزید ثانی ایک نااہل حکمران تھا	یزید ثانی ایک نااہل حکمران تھا
اسٹاک مارکیٹ کے نیچے جانے کی وجہ جے ائی ٹی ہے گورنر سندھ	اسٹاک مارکیٹ کے نیچے جانے کی وجہ جے ائی ٹی ہے گورنر سندھ
وہ یہ کر چکے ہیں	وہ یہ کر چکے ہیں۔
مبنی نہیں ہے	مبنی نہیں ہے۔
برطانیہ میں خود ٹھنڈا ہونے والا مشروب اسی سال فروخت کے لئے پیش کیاجائے گا	برطانیہ میں خود ٹھنڈا ہونے والا مشروب اسی سال فروخت کے لئے پیش کیاجائے گا۔
بہت نفاق ہو گا	بہت نفاق ہو گا۔
کمپنی نے کہا مقامی انتظامیہ نے الزامات پر سماعتیں گذشتہ بہار میں کی تھیں	کمپنی نے کہا مقامی انتظامیہ نے الزامات پر سماعتیں گذشتہ بہار میں کی تھیں
ان کی چیخ وپکار بہرے کانوں پہ پڑی	ان کی چیخ وپکار بہرے کانوں پہ پڑی۔
گیبون	گیبون
ہمارے ساتھ کھانے میں شریک ہوں	ہمارے ساتھ کھانے میں شریک ہوں
کون سا امیر	کون سا امیر۔
آسودہ ہونے کی وجہ سے دوران سفر بڑے بڑے ہوٹلوں میں رہتے	آسودہ ہونے کی وجہ سے دوران سفر بڑے بڑے ہوٹلوں میں رہتے
پوچھو تو ادھر تیر فگن کون ہے یارو	پوچھو تو ادھر تیر فگن کون ہے یارو
آپ سب سے زیادہ کس سے محبت کرتی ہو	آپ سب سے زیادہ کس سے محبت کرتی ہو؟
ان چیزوں پر اعتبار کرتا ہوں جن کو میں جانتا ہوں	ان چیزوں پر اعتبار کرتا ہوں جن کو میں جانتا ہوں
کہ نومبر کے فیصلے پہلے ہی ہو چکے ہیں	کہ نومبر کے فیصلے پہلے ہی ہو چکے ہیں۔
ایک بیان کے بعد کشیدگی آگئی ہے	ایک بیان کے بعد کشیدگی آگئی ہے
اداکاروں کے پاس وقت نہیں ہوتا ہے	اداکاروں کے پاس وقت نہیں ہوتا ہے
اور جب ایک ہی جیسا مینہ آسماں سے برستا ہے تو کہیں رحمت بن جاتا ہے اور کہیں زحمت مگر کیوں	اور جب ایک ہی جیسا مینہ آسماں سے برستا ہے تو کہیں رحمت بن جاتا ہے اور کہیں زحمت مگر کیوں
یہی حال باقی عادتوں کا ہے	یہی حال باقی عادتوں کا ہے۔
سکھوں یا دیگر مذاہب کی شادیاں ہوں	سکھوں یا دیگر مذاہب کی شادیاں ہوں۔
کام فورا شروع کرتا ہوں	کام فورا شروع کرتا ہوں
وہ صرف انتہا پسندی پیدا کرتی ہے	وہ صرف انتہا پسندی پیدا کرتی ہے۔
انقلاب اور ٹکراو کا	انقلاب اور ٹکراؤ کا۔
عرض ہونا	عرض ہونا
جنونی خوابوں خیالوں کی دنیا سے لطف اندوز ہوتا ہوں	جنونی خوابوں خیالوں کی دنیا سے لطف اندوز ہوتا ہوں
بطور ایک شیعہ فاطمی خلیفہ	بطور ایک شیعہ فاطمی خلیفہ
کچھ بھی ممکن ہے نیو گنی فنڈ کے متعلق کیا خیال ہے	کچھ بھِی ممکن ہے نیو گِنی فنڈ کے متعلق کِیا خیال ہے
ستم سکھلائے گا رسم وفا ایسے نہیں ہوتا	ستم سکھلائے گا رسم وفا ایسے نہیں ہوتا
یہ امید ہی ہے کہ اللہ سب سے زیادہ طاقتور ہونے کے باوجود توبہ کی گنجائش رکھے	یہ امید ہی ہے کہ اللہ سب سے زیادہ طاقتور ہونے کے باوجود توبہ کی گنجائش رکھے
یہی حال آج کا مسلمان ممالک کا ہونا	یہی حال آج کا مسلمان ممالک کا ہونا
یقین کر لیتا ہوں کے دوسرے اچھی نیت رکھتے ہیں	یقین کر لیتا ہوں کے دوسرے اچھی نیت رکھتے ہیں
شناختی کارڈ کی تصدیق ہونے کی صورت میں سکرین پر ٹک کا نشان سامنے آ جائے گا	شناختی کارڈ کی تصدیق ہونے کی صورت میں سکرین پر ٹک کا نشان سامنے آ جائے گا
لیکن بات مزاج کی ہے	لیکن بات مزاج کی ہے۔
ابھی کہاں ہو	ابھی کہاں ہو؟
بالائی سطح پر پاکستان میں کرپشن کا خاتمہ ہو چکا ہے	بالائی سطح پر پاکستان میں کرپشن کا خاتمہ ہو چکا ہے
کپاس ہم اگاتے تھے	کپاس ہم اگاتے تھے۔
سفر آپ نے ہیلی کاپٹر پہ کرنے ہوں	سفر آپ نے ہیلی کاپٹر پہ کرنے ہوں۔
تو اس کی اساس بین الاقوامی تعلقات کے مسلمات ہوں	تو اس کی اساس بین الاقوامی تعلقات کے مسلمات ہوں۔
اور پھر جب کبھی لاچاری سے پالا پڑ جائے	اور پھر جب کبھی لاچاری سے پالا پڑ جائے ۔
ہت سے مزدور ہلاک اور زخمی کر دے	ہت سے مزدور ہلاک اور زخمی کر دے
نوازشریف اندر ہیں	نوازشریف اندر ہیں۔
میری خیال سے آپ کی آنکھیں بہت خوب ہوتی ہیں	میری خیال سے آپ کی آنکھیں بہت خوب ہوتی ہیں.
یار یہ بات میں اس کے منہ پر کہ دوں گی	یار، یہ بات میں اس کے منہ پر کہ دوں گی
نو آموز ریاست تھی	نو آموز ریاست تھی۔
کیا کوئی ایک شخص دنیا میں کوئی بدلاؤ لا سکتا ہے	کیا کوئی ایک شخص دنیا میں کوئی بدلاؤ لا سکتا ہے؟
کاش ہم لوگ ذاتی طور پر صرف اپنے لیے ہی سوچتے ہیں	کاش ہم لوگ ذاتی طور پر صرف اپنے لیے ہی سوچتے ہیں
آج پگھلا دینے والی گرمی ہے	آج پگھلا دینے والی گرمی ہے
میں صبح جلدی اٹھتاہوں	میں صبح جلدی اٹھتاہوں
وہ سب جانتے ہیں	وہ سب جانتے ہیں۔
ان کا تعلق جنوبی افریقہ سے ہے	ان کا تعلق جنوبی افریقہ سے ہے۔
جو ایک پل کے لیے بھی ان کی نگرانی سے غافل نہیں ہوتے	جو ایک پل کے لیے بھی ان کی نگرانی سے غافل نہیں ہوتے
معاف کیجئے میں آپ کی بات سمجھانہیں	معاف کیجئے میں آپ کی بات سمجھانہیں
ایشین ڈویلپمنٹ بینک کے وفد کی شہباز شریف سے ملاقات	ایشین ڈویلپمنٹ بینک کے وفد کی شہباز شریف سے ملاقات
سلمان خان کی نظر میں اکشے کمار اصل سلطان	سلمان خان کی نظر میں اکشے کمار اصل سلطان
سامان شام میسر ہوں	سامان شام میسر ہوں۔
یہ ہماری ذہنی تندرستی کے لئے خطرہ ہوسکتی ہے	یہ ہماری ذہنی تندرستی کے لئے خطرہ ہوسکتی ہے
نہ ہی کہیں پر شرمسار کرتا ہے	نہ ہی کہیں پر شرمسار کرتا ہے۔
ریزگاری رکھ لیجئے	ریزگاری رکھ لیجئے
یہ کتاب بہت اچھی ہے	یہ کتاب بہت اچھی ہے
اب ایک نظر ہماری ایران پالیسی پر	اب ایک نظر ہماری ایران پالیسی پر۔
آپ ایک کمرے کا کرایہ کتنا لیتے ہیں	آپ ایک کمرے کا کرایہ کتنا لیتے ہیں؟
ان راہوں پہ چل نکلے	ان راہوں پہ چل نکلے۔
شناختی کارڈ کی تجدید نہیں ہوجاتی	شناختی کارڈ کی تجدید نہیں ہوجاتی
فیالوقت حکومت ایسے اندراجات کے لیے کچھ نہیں لیتی ہے	فیالوقت حکومت ایسے اندراجات کے لیے کچھ نہیں لیتی ہے
یہ بچگانہ مذاق تھا	یہ بچگانہ مذاق تھا
ہمیں الوداع کیا	ہمیں الوداع کیا
جوش و خروش کو پسند کرتا ہوں	جوش و خروش کو پسند کرتا ہوں
جنرل مشرف ہوتے ہیں	جنرل مشرف ہوتے ہیں۔
متکلم نہیں اب مناظر پیدا ہوتے ہیں	متکلم نہیں، اب مناظر پیدا ہوتے ہیں۔
الفاظ اس کی نوک قلم سے بھی الجھتے ہیں	الفاظ اس کی نوک قلم سے بھی الجھتے ہیں
ماضی میں چونکہ ریاست کا کوئی آئین نہیں ہوتا تھا	ماضی میں چونکہ ریاست کا کوئی آئین نہیں ہوتا تھا۔
اپنی مشق ستم سے ہاتھ نہ کھینچ	اپنی مشقِ ستم سے ہاتھ نہ کھینچ
اس کی شرافت نے میرا دل جیت لیا	اس کی شرافت نے میرا دل جیت لیا
چیئرمین ماو کی تو بات ہی اور تھی	چیئرمین ماؤ کی تو بات ہی اور تھی۔
جب ڈھول بجا تو اٹھ کر ناچنے لگا	جب ڈھول بجا تو اٹھ کر ناچنے لگا
جوانی کی دہلیز پہ تھے	جوانی کی دہلیز پہ تھے۔
کراچی ان کی اماں جی جہیز میں لائیں تھیں	کراچی ان کی اماں جی جہیز میں لائیں تھیں ۔
تو ان لمحوں میں بھی امید کا ایک در کھلا رہتا ہے	تو ان لمحوں میں بھی امید کا ایک در کھلا رہتا ہے۔
ہمارے لوگوں کی اکثریت کو جاہل اور لاشعور رکھا گیا ہے	ہمارے لوگوں کی اکثریت کو جاہل اور لاشعور رکھا گیا ہے۔
لہذا اسے کم از کم فوری طور	لہذا اسے کم از کم فوری طور
اور ہم ہیں	اور ہم ہیں۔
اسلام آباد سے میراگاوں ایک گھنٹے کی مسافت پر ہے	اسلام آباد سے میراگاؤں ایک گھنٹے کی مسافت پر ہے۔
تازہ ہوا کے لیے درخت لگانا بہت ضروری ہے	تازہ ہوا کے لیے درخت لگانا بہت ضروری ہے
تم نے عید کی شاپنگ کر لی ہے	تم نے عید کی شاپنگ کر لی ہے؟
میں بھی اسی سکول میں پڑھتا تھا	میں بھی اسی سکول میں پڑھتا تھا۔
پھر آنے کی کوشش کروں گا	پھر آنے کی کوشش کروں گا۔
اگلے ماہ پاکستان ویسٹ انڈیز کا دورہ کرے گا	اگلے ماہ پاکستان ویسٹ انڈیز کا دورہ کرے گا
سوال ذہنوں کا ہے اور ذہن بند ہیں	سوال ذہنوں کا ہے اور ذہن بند ہیں۔
پورے دن میں بس تین چار ہی	پورے دن میں بس تین چار ہی ۔
پڑوس ہندوستان میں بھی جمہوریت ہے	پڑوس ہندوستان میں بھی جمہوریت ہے۔
میں نے اسے گھر سے نکلتے دیکھا تھا	میں نے اسے گھر سے نکلتے دیکھا تھا
جسے پیش کر رہی ہیں	جسے پیش کر رہی ہیں
واٹس ایپ کا متعد	واٹس ایپ کا متعد
یوں مہم ایک سال رہی	یوں مہم ایک سال رہی۔
لیکن ایک عام مزدور جو صبح چوک	لیکن ایک عام مزدور جو صبح چوک
تو میں اس سے یہ حاصل کر سکتا ہوں	تو میں اس سے یہ حاصل کر سکتا ہوں۔
وہ کیا ٹکر لے رہے ہیں	وہ کیا ٹکر لے رہے ہیں؟
جب دل چاھے گانا	جب دل چاھے گانا
محمد عرفان کا ٹی ٹوئنٹی کرکٹ میں حیرت انگیز ریکارڈ	محمد عرفان کا ٹی ٹوئنٹی کرکٹ میں حیرت انگیز ریکارڈ
پہلی شرط سوچ رکھنے کی صلاحیت ہے	پہلی شرط سوچ رکھنے کی صلاحیت ہے۔
انوکھا منظر کیمرے کی انکھ میں محفوظ ہوگیا	انوکھا منظر کیمرے کی آنکھ میں محفوظ ہوگیا
آخر یہاں مردہ انسانوں کے گوشت کھانے والے بھی ہیں	آخر یہاں مردہ انسانوں کے گوشت کھانے والے بھی ہیں۔
ایک فون میں ای سگریٹ کا اضافہ بھی کر دیا گیا ہے	"ایک فون میں ""ای سگریٹ"" کا اضافہ بھی کر دیا گیا ہے"
ارمی چیفشاہد افریدی اور مداحوں کا مشکور ہوں انعام بٹ	ارمی چیفشاہد افریدی اور مداحوں کا مشکور ہوں انعام بٹ
اور جب ایک ہی جیسا مینہ آسماں سے برستا ہے تو کہیں رحمت بن جاتا ہے	اور جب ایک ہی جیسا مینہ آسماں سے برستا ہے تو کہیں رحمت بن جاتا ہے
ویسٹرن آسٹریلیا ٹائم	ویسٹرن آسٹریلیا ٹائم
پشاورسے چترال تک کا سفر چودہ گھنٹوں میں طے ہوتا ہے	پشاورسے چترال تک کا سفر چودہ گھنٹوں میں طے ہوتا ہے ۔
ان پہ ظلم کی شب کب سے چلی آ رہی ہے	ان پہ ظلم کی شب کب سے چلی آ رہی ہے۔
باربار پروگرام ٹریڈنگ کے نقاد جواخانہ موضوع چھیڑتے ہیں	باربار پروگرام ٹریڈنگ کے نقّاد جواخانہ موضوع چھیڑتے ہیں
میرا خیال ہے کہ اسے غوروفکر کی بنیاد بنانا چاہیے	میرا خیال ہے کہ اسے غوروفکر کی بنیاد بنانا چاہیے۔
کاریں بہت تھوڑی تھیں	کاریں بہت تھوڑی تھیں۔
کچھ کرتوتوں کی مار ہے	کچھ کرتوتوں کی مار ہے۔
اس رپورٹ کی پرتیں کھل رہی ہیں	اس رپورٹ کی پرتیں کھل رہی ہیں۔
لیکن اس کو چھوڑئیے	لیکن اس کو چھوڑئیے۔
یہی حال دوبئی کا ہے	یہی حال دوبئی کا ہے۔
میں گاڑی سے نکلا اور پیدل چل پڑا	میں گاڑی سے نکلا اور پیدل چل پڑا۔
تو اس کے چند نتائج ناگزیر ہیں	تو اس کے چند نتائج ناگزیر ہیں۔
یہ سفر صدیوں سے جاری ہے اور ابد تک جاری رہے گا	یہ سفر صدیوں سے جاری ہے اور ابد تک جاری رہے گا۔
تو آسمانوں پہ	تو آسمانوں پہ۔
ٹی ٹؤنٹی کو بنیاد بنا کر	ٹی ٹؤنٹی کو بنیاد بنا کر
شہر سے دور ہونے کے باعث	شہر سے دور ہونے کے باعث
دیکھو اونٹ کس کروٹ بیٹھتا ہے	دیکھو اونٹ کس کروٹ بیٹھتا ہے ۔
جزائر فارو	جزائر فارو
نیک شگون اور سیاسی استحکام کی علامت ہے	نیک شگون اور سیاسی استحکام کی علامت ہے۔
موسم گرما کے آغاز پر ہی بجلی کا شارٹ فال دیکھنے کو مل رہا ہے	موسم گرما کے آغاز پر ہی بجلی کا شارٹ فال دیکھنے کو مل رہا ہے
گھستا ہے جبیں خاک پہ دریا مرے آگے	گھستا ہے جبیں خاک پہ دریا مرے آگے
گویا حکومت کا کام ہے	گویا حکومت کا کام ہے۔
علمی مشاہدے ان کی حیاتیات میں پائے گئے	علمی مشاہدے ان کی حیاتیات میں پائے گئے
آج قدرت نے ان کے ساتھ ہاتھ کر دیا	آج قدرت نے ان کے ساتھ ہاتھ کر دیا۔
اور وقت گزرنا اور درجن دورہ ذرائع ہونا	اور وقت گزرنا اور درجن دورہ ذرائع ہونا
معیشت جب سیاست سے الگ ہوتی ہے	معیشت جب سیاست سے الگ ہوتی ہے۔
صحن گلشن میں بہر مشتاقاں	صحن گلشن میں بہر مشتاقاں
تب ریڈیو ہی تھا	تب ریڈیو ہی تھا۔
ترتیب اور باقاعدگی پسند کرتا ہوں	ترتیب اور باقاعدگی پسند کرتا ہوں
امجد رمضان کی نشریات کا ایک لازمی حصہ بن چکا تھا	امجد رمضان کی نشریات کا ایک لازمی حصہ بن چکا تھا۔
گھومنے پھرنے کا ارادہ ہے تو ہماری خوب آؤ بھگت شروع ہو گئی	گھومنے پھرنے کا ارادہ ہے تو ہماری خوب آؤ بھگت شروع ہو گئی
پی اس ال کا فائنل دوسری فائنلسٹ ٹیم اسلام باد یونائیٹڈ کراچی پہنچ گئی	پی اس ال کا فائنل دوسری فائنلسٹ ٹیم اسلام باد یونائیٹڈ کراچی پہنچ گئی
وہاں سے بھی وعدے وعید کیے گئے ہیں	وہاں سے بھی وعدے وعید کیے گئے ہیں۔
انجکشن سے بلڈ کو	انجکشن سے بلڈ کو
اسک معانی پر اور مفہوم پر کبھی غورک بھی نہیں	اسک معانی پر اور مفہوم پر کبھی غورک بھی نہیں
پراچین سنسکرت دور اور دیگر زیرتحقیق آرک لوجیکل سائٹسٹ	پراچین سنسکرت دور اور دیگر زیرتحقیق آرک لوجیکل سائٹسٹ
ان کو تبدیل کیے بغیر تبدیلی کا صرف خواب دیکھا جا سکتا ہے	ان کو تبدیل کیے بغیر تبدیلی کا صرف خواب دیکھا جا سکتا ہے۔
یہ زمرد بھی حریف دم افعی نہ ہوا	یہ زمرد بھی حریف دم افعی نہ ہوا
جلوہٴ گل نے کیا تھا واں چراغاں آبجو	جلوہٴ گل نے کیا تھا واں چراغاں آبجو
مرے لیے تو ہے اقرار بااللساں بھی بہت	مرے لیے تو ہے اقرار بااللساں بھی بہت
درحقیقت لاہور ہمیشہ پٹھانوں کے مقابلہ میں مغل حکمرانوں کی حمایت کرتا رہا	درحقیقت لاہور ہمیشہ پٹھانوں کے مقابلہ میں مغل حکمرانوں کی حمایت کرتا رہا
اس کی دو تین وجوہ ہو سکتی ہیں	اس کی دو تین وجوہ ہو سکتی ہیں۔
عدو کے ہو لیے جب تم‘ تو میرا امتحاں کیوں ہو	عدو کے ہو لیے جب تم‘ تو میرا امتحاں کیوں ہو؟
زرہ کوئی اگر محفوظ رکھتی ہے تو استغنا	زرہ کوئی اگر محفوظ رکھتی ہے تو استغنا
طبی عملے کے مطابق ملک میں کورونا وائرس کی علامات کو	طبی عملے کے مطابق ملک میں کورونا وائرس کی علامات کو
بے نیازی حد سے گزری بندہ پرور کب تلک	بے نیازی حد سے گزری بندہ پرور، کب تلک
ساری غلطی قبول کرلی	ساری غلطی قبول کرلی
آپ کی تعلیم کیا ہے	آپ کی تعلیم کیا ہے ؟
اپنے اندر ایمانداری پیدا کریں ایجوکیشن امپروو کریں انصاف اور امن لائیں نیک کام تو کوئی کرنا نہیں	اپنے اندر ایمانداری پیدا کریں، ایجوکیشن امپروو کریں، انصاف اور امن لائیں، نیک کام تو کوئی کرنا نہیں
اب بھی ہے اور بہت ساری ایسی کلاسز ہیں جن میں زیادہ تناسب طالبات کا ہے	اب بھی ہے اور بہت ساری ایسی کلاسز ہیں جن میں زیادہ تناسب طالبات کا ہے۔
